ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
744;"Часы";"Ленинградский просп., д40 Академия им. Жуковского";"КП 098-01";"";"0.12";"Северный АО";"37.549945";"55.793052";"92387097";
745;"Часы";"Ленинградский просп., д62 м.""Аэропорт""";"КП 098-01";"";"0.12";"Северный АО";"37.533494";"55.79867";"92387098";
746;"Часы";"Ленинградское шоссе, д8/2";"КП 098-01";"";"0.08";"Северный АО";"37.500442";"55.816619";"92387099";
747;"Часы";"Ленинградский просп., д73 А";"КП 098-01";"";"0.125";"Северный АО";"37.513205";"55.803264";"92387100";
748;"Часы";"Ленинградский просп., д76 м. ""Сокол""";"КП 098-01";"";"0.12";"Северный АО";"37.514797";"55.805433";"92387101";
749;"Часы";"Героев Панфиловцев ул., д1";"КП 098-01";"";"0.12";"Северо-Западный АО";"37.438426";"55.853563";"92387102";
750;"Часы";"Ленинградское шоссе, д12";"АЧС 2-900";"";"0.125";"Северный АО";"37.497665";"55.819567";"92387103";
751;"Часы";"Ленинградское шоссе, д25";"КП-098";"";"0.125";"Северный АО";"37.489007";"55.829424";"92387104";
752;"Часы";"Ленинградское шоссе, д51 Гл.вх. Речного вокзала";"КП 098-01";"";"0.12";"Северный АО";"37.472244";"55.851867";"92387105";
753;"Часы";"Ленинградское шоссе, д53 Сев.вх. Речного вокзал";"КП 098-01";"";"0.12";"Северный АО";"37.469758";"55.855591";"92387106";
754;"Часы";"Ленинский просп., д146 пересечение с ул.26 Бакинских комиссаров";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.496295";"55.656189";"92387107";
755;"Часы";"Ленинский просп., д2 м.""Октябрьская""-кольцевая";"КП-098";"";"0.125";"Центральный АО";"37.611737";"55.729486";"92387108";
756;"Часы";"Ленинский просп., д3 магазин ""Подарки""";"КП-098";"";"0.125";"Центральный АО";"37.607916";"55.726124";"92387109";
757;"Часы";"Ленинский просп., д41 магазин ""Ткани""";"КП 098-04/1";"";"0.14";"Юго-Западный АО";"37.578549";"55.706509";"92387110";
758;"Часы";"Ленинский просп., д54 магазин ""Москва""";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.561723";"55.697625";"92387111";
759;"Часы";"Ленинский просп., д63 пересечение с ул.Дм.Ульянова";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.556312";"55.694073";"92387112";
760;"Часы";"Ленинский просп., д74 пересечение с ул. Строителей";"АЧС-800";"";"0.08";"Юго-Западный АО";"37.539476";"55.68434";"92387113";
761;"Часы";"Ленинский просп., д90 пересечение с ул.Кравченко";"АЧС-800";"";"0.08";"Юго-Западный АО";"37.524119";"55.673911";"92387114";
762;"Часы";"Ленинский просп., д92 пересечение с ул.Удальцова";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.519579";"55.670823";"92387115";
763;"Часы";"Ломоносовский просп., пересечение с Мичуринским просп.";"КП 098-01";"";"0.12";"Западный АО";"37.514763";"55.70538";"92387116";
764;"Часы";"Ломоносовский просп., д10/68 пересечение с Ленинским просп.";"КП 098-01";"";"0.12";"Юго-Западный АО";"37.545498";"55.688457";"92387117";
765;"Часы";"Лубочный пер., напротив д4 Садовническая наб.";"КП 098-01";"";"0.12";"Центральный АО";"37.625474";"55.746325";"92387118";
766;"Часы";"Лубянская пл., Памятник узникам репрессий";"КП 098-01";"";"0.12";"Центральный АО";"37.627404";"55.759224";"92387119";
767;"Часы";"площадь Сокольническая Застава, Главный вход в парк ""Сокольники""";"КП 098-01";"";"0.08";"Восточный АО";"37.678216";"55.792221";"92387120";
768;"Часы";"Люблинская ул., д4";"КП 098-01";"";"0.125";"Юго-Восточный АО";"37.731297";"55.704861";"92387121";
769;"Часы";"Люблинская ул., д64 рынок";"КП-098";"";"0.125";"Юго-Восточный АО";"37.739297";"55.67356";"92387122";
770;"Часы";"Устьинский М.мост, пересечение с Подгорской наб.";"КП-098";"";"0.125";"Центральный АО";"37.642298";"55.748452";"92387123";
