ROWNUM;Name;Location;Type;TypePhoto;Power;AdmArea;X_WGS;Y_WGS;GLOBALID;
1;"Часы";"Тимирязевская ул., д17 к/т ""Эстафета""";"КП 098-01";"";"0.12";"Северный АО";"37.568035";"55.8114";"92385347";
2;"Часы";"Тишинская пл., напротив д6, пересечение с Грузинским пер.";"КП 098-01";"";"0.12";"Центральный АО";"37.583865";"55.770051";"92385348";
3;"Часы";"Триумфальная пл., д1,м. ""Маяковская""";"КП 098-01";"";"0.12";"Центральный АО";"37.595843";"55.769912";"92385349";
4;"Часы";"Тургеневская пл., напротив д35 м. ""Тургеневская""";"КП-098";"";"0.125";"Центральный АО";"37.637582";"55.765653";"92385350";
5;"Часы";"Тушинская ул., д14";"КП 098-01";"";"0.12";"Северо-Западный АО";"37.446796";"55.827019";"92385351";
6;"Часы";"Косыгина ул., Смотровая площадка";"КП-098";"";"0.125";"Западный АО";"37.542364";"55.709092";"92385352";
7;"Часы";"Университетский просп., Мичуринский пр-т.";"КП-098";"";"0.125";"Западный АО";"37.527028";"55.71147";"92385353";
8;"Часы";"Университетский просп., Гл. вход МГУ";"АЧС 2-900";"";"0.125";"Западный АО";"37.536479";"55.705687";"92385354";
9;"Часы";"Фонвизина ул., пересечение с ул.Яблочкова";"КП-098";"";"0.125";"Северо-Восточный АО";"37.581041";"55.819301";"92385355";
10;"Часы";"Хамовнический вал ул., д2, пересечение с Фрунзенской наб.";"АЧС-800";"";"0.08";"Центральный АО";"37.577057";"55.715687";"92385356";
11;"Часы";"Хамовнический вал ул., д34 гост.""Юность""";"КП 098-04/1";"";"0.14";"Центральный АО";"37.562413";"55.721881";"92385357";
12;"Часы";"Профсоюзная ул., д1/24 Хо Ши Мина пл. 3-я опора до пересечения";"КП 098-04/1";"";"0.14";"Юго-Западный АО";"37.572714";"55.686756";"92385358";
13;"Часы";"Хорошёвское шоссе, д20 м.""Беговая""";"АЧС-800";"";"0.08";"Северный АО";"37.544123";"55.773886";"92385359";
14;"Часы";"Хорошёвское шоссе, д35 к3 м.""Полежаевская""";"КП 098-01";"";"0.08";"Северный АО";"37.519782";"55.777398";"92385360";
15;"Часы";"Цветной бульв., д13 Цирк";"КП-098";"";"0.125";"Центральный АО";"37.620899";"55.770688";"92385361";
16;"Часы";"Челябинская ул., д2";"КП 098-01";"";"0.12";"Восточный АО";"37.820019";"55.77542";"92385362";
17;"Часы";"Чертановская ул., д11 к1 Торговый центр";"АЧС-800";"";"0.08";"Южный АО";"37.598877";"55.628504";"92385363";
18;"Часы";"Чертановская ул., д17 к/т ""Ашхабад""";"АЧС-800";"";"0.08";"Южный АО";"37.596302";"55.624463";"92385364";
19;"Часы";"Шарикоподшипниковская ул., д13";"АЧС-800";"";"0.08";"Юго-Восточный АО";"37.677947";"55.716542";"92385365";
20;"Часы";"Шипиловский пр., д39 стр1 м. ""Орехово""";"КП 098-01";"";"0.125";"Южный АО";"37.69573";"55.611925";"92385366";
21;"Часы";"Широкая ул., д11 м. ""Медведково""";"КП 098-01";"";"0.12";"Северо-Восточный АО";"37.660876";"55.887769";"92385367";
22;"Часы";"Щелковское шоссе, напротив д1,пересечение с Сиреневым бульв.";"КП 098-01";"";"0.12";"Восточный АО";"37.751586";"55.802144";"92385368";
23;"Часы";"Щелковское шоссе, д73 пересечение с Уральской ул.";"КП 098-01";"";"0.08";"Восточный АО";"37.798227";"55.810354";"92385369";
24;"Часы";"Щербаковская ул., д41 пересечение с ул.Ибрагимова";"АЧС-800";"";"0.08";"Восточный АО";"37.731459";"55.782801";"92385370";
25;"Часы";"Щербаковская ул., д50/52 пересечение с ул.Фортунатовская";"КП 098-01";"";"0.125";"Восточный АО";"37.738857";"55.782887";"92385371";
26;"Часы";"Щорса ул., д2 магазин ""Детский Мир""";"КП 098-01";"";"0.125";"Западный АО";"37.408024";"55.648124";"92385372";
27;"Часы";"Энтузиастов шоссе, д28/2 з-д ""Компрессор""";"КП 098-01";"";"0.12";"Восточный АО";"37.722413";"55.752417";"92385373";
28;"Часы";"Юных Ленинцев ул., д52 к/т ""Высота""";"КП-098";"";"0.125";"Юго-Восточный АО";"37.765072";"55.700131";"92385374";
29;"Часы";"Руставели ул., д6";"КП-098";"";"0.125";"Северо-Восточный АО";"37.589289";"55.812603";"92385375";
30;"Часы";"Ясногорская ул., м ""Ясенево""";"КП 098-01";"";"0.125";"Юго-Западный АО";"37.535155";"55.60626";"92385376";
31;"Часы";"Краснопрудная ул., д6";"КП-098";"";"0.125";"Центральный АО";"37.659859";"55.776465";"92385377";
32;"Часы";"Новослободская ул., д46";"КП-098";"";"0.125";"Центральный АО";"37.595361";"55.785826";"92385378";
33;"Часы";"Автозаводская ул., д11 м ""Автозаводская""";"КП-098";"";"0.125";"Южный АО";"37.657225";"55.706477";"92385379";
34;"Часы";"Преображенская пл., д11 А м ""Преображенская""";"КП-098";"";"0.125";"Восточный АО";"37.713358";"55.796215";"92385380";
35;"Часы";"Варшавское шоссе, д26 Г з-д им. Карпова";"КП-098";"";"0.125";"Южный АО";"37.623049";"55.683406";"92385381";
36;"Часы";"Головинское шоссе, д1-а Кронштадский б-р (м.""Водный стадион"")";"КП-098";"";"0.125";"Северный АО";"37.487463";"55.839706";"92385382";
37;"Часы";"Бутырская ул., д95 м ""Дмитровская""";"КП-098";"";"0.125";"Северный АО";"37.580604";"55.807865";"92385383";
38;"Часы";"Зеленый просп., д20 Префектура";"КП-098";"";"0.125";"Восточный АО";"37.785264";"55.750874";"92385384";
39;"Часы";"Измайловское шоссе, д71 А кБ";"КП-098";"";"0.125";"Восточный АО";"37.749967";"55.788194";"92385385";
40;"Часы";"Ленинский просп., д39,м.""Ленинский проспект"" южн.вход";"КП-098";"";"0.125";"Юго-Западный АО";"37.584837";"55.707003";"92385386";
41;"Часы";"Ленинский просп., д51";"КП-098";"";"0.125";"Юго-Западный АО";"37.565199";"55.699105";"92385387";
42;"Часы";"Саянская ул., д15 к1 (конечная остановка транспорта)";"КП 098-04/1";"";"0.1";"Восточный АО";"37.832433";"55.766825";"92385388";
43;"Часы";"Василевского Маршала ул., д15 м.""Щукино""";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.465575";"55.807753";"92385389";
44;"Часы";"Петушкова Василия ул., д7 пересечение с местным пр-м";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.406608";"55.837897";"92385390";
45;"Часы";"Энтузиастов шоссе, д74/2 пересечение с 3-й Владимирской ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.783874";"55.764395";"92385391";
46;"Часы";"Народного Ополчения ул., д29 пересечение с ул.Маршала Тухачевского";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.48079";"55.782626";"92385392";
47;"Часы";"Катукова Маршала ул., д25 пересечение с Таллинской ул. 6-я опора";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.415049";"55.805165";"92385393";
48;"Часы";"Нагорная ул., д1 пересечение с 6-м Загородным пр.";"КП 098-01";"";"0.08";"Юго-Западный АО";"37.613728";"55.684523";"92385394";
49;"Часы";"Поречная ул., напротив д19/31 пересечение с Мячковским б-ром";"КП 098-01";"";"0.08";"Юго-Восточный АО";"37.764972";"55.648488";"92385395";
50;"Часы";"Щелковское шоссе, д23 пересечение с местным пр-м";"КП 098-01";"";"0.08";"Восточный АО";"37.77216";"55.807811";"92385396";
51;"Часы";"Сиреневый б-р, д64/31 (площадь Соловецких юнг)";"КП 098-01";"";"0.08";"Восточный АО";"37.498445";"55.614809";"92385397";
52;"Часы";"Енисейская ул., напротив д52 пересечение с пр.Шокальского";"КП 098-01";"";"0.08";"Северо-Восточный АО";"37.672093";"55.884496";"92385398";
53;"Часы";"Мячковский б-р, д11 пересечение с Новомарьинской ул.";"КП 098-01";"";"0.08";"Юго-Восточный АО";"37.756622";"55.654578";"92385399";
54;"Часы";"Пироговская Б.ул., д7 пересечение с ул.Льва Толстого";"КП 098-04/1";"";"0.1";"Центральный АО";"37.58074";"55.735991";"92385400";
55;"Часы";"Вельяминовская ул., д34 пересечение с ул.Ткацкой";"КП 098-04/1";"";"0.1";"Восточный АО";"37.722286";"55.784827";"92385401";
56;"Часы";"Ткацкая ул., д4А пересечение с Вельяминовской ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.72032";"55.785271";"92386402";
57;"Часы";"Павловская ул., влад.7 пересечение с 3-м Павловским пер.";"КП 098-04/1";"";"0.1";"Южный АО";"37.627738";"55.719226";"92386403";
58;"Часы";"Свободный просп., д30 пересечение с Перовской ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.814747";"55.746838";"92386404";
59;"Часы";"Апакова пр., пересечение с ул.Шаболовка";"КП 098-04/1";"";"0.1";"Центральный АО";"37.611874";"55.727701";"92386405";
60;"Часы";"Богородский Вал ул., д3а пересечение с Краснобогатырской ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.70679";"55.803485";"92386406";
61;"Часы";"Кусковская ул., д2 пересечение с местным пр-дом";"КП 098-04/1";"";"0.1";"Восточный АО";"37.764218";"55.737481";"92386407";
62;"Часы";"Катукова Маршала ул., д10 пересечение с ул.Кулакова 13-я опора";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.404552";"55.81";"92386408";
63;"Часы";"Таллинская ул., д7 пересечение с ул.Кулакова 9-я опора";"КП 098-04/1";"";"0.1";"Северо-Западный АО";"37.395539";"55.799521";"92386409";
64;"Часы";"Семеновская Б.ул., д10 пересечение с Семеновской наб.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.702042";"55.782608";"92386410";
65;"Часы";"Мухиной Скульптора ул., д9 пересечение с ул.Федосьино";"КП 098-01";"";"0.08";"Западный АО";"37.34051";"55.638287";"92386411";
66;"Часы";"Чоботовская ул., д13 пересечение с ул.Скульптора Мухиной";"КП 098-01";"";"0.08";"Западный АО";"37.352667";"55.644643";"92386412";
67;"Часы";"Нагатинская наб., напротив д6 к1 пересечение с Нагатинским б-ром";"КП 098-01";"";"0.08";"Южный АО";"37.656063";"55.684711";"92386413";
68;"Часы";"Кавказский бульв., д34 к1 пересечение с Бакинской ул.";"КП 098-01";"";"0.08";"Южный АО";"37.656642";"55.628104";"92386414";
69;"Часы";"Профсоюзная ул., д19 пересечение с ул.Кржижановского 8-я опора";"КП 098-01";"";"0.08";"Юго-Западный АО";"37.564431";"55.679033";"92386415";
70;"Часы";"Каспийская ул., д40 пересечение с Бакинской ул. 7-я опора";"КП 098-01";"";"0.08";"Южный АО";"37.663757";"55.61709";"92386416";
71;"Часы";"Кантемировская ул., напротив д5 к4 пересечение с Кавказским б-ром";"КП 098-01";"";"0.08";"Южный АО";"37.674206";"55.637098";"92386417";
72;"Часы";"Сущевский Вал ул., д13 пересечение с Савеловским пр.";"КП 098-01";"";"0.08";"Северо-Восточный АО";"37.595353";"55.792327";"92386418";
73;"Часы";"Кавказский бульв., д18 к1 пересечение с Ереванской ул.";"КП 098-01";"";"0.08";"Южный АО";"37.667682";"55.632409";"92386419";
74;"Часы";"Красносельская Верхн.ул., д3Г (1-я опора) пересечение с 3 ГТК";"КП 098-01";"";"0.08";"Центральный АО";"37.665371";"55.784253";"92386420";
75;"Часы";"Костомаровский пер., д2/6";"КП 098-01";"";"0.08";"Центральный АО";"37.664525";"55.752529";"92386421";
76;"Часы";"Каширское шоссе, д61 к2 пересечение с Борисовским пр.";"КП 098-01";"";"0.08";"Южный АО";"37.711119";"55.624159";"92386422";
77;"Часы";"Центральный просп., корп.435";"КП 098-01";"";"0.08";"Зеленоградский АО";"37.695535";"55.636053";"92386423";
78;"Часы";"Хорошёвское шоссе, д43";"КП 098-01";"";"0.08";"Северный АО";"37.508958";"55.777359";"92386424";
79;"Часы";"Самаркандский б-р, напротив д5 пересечение с Ташкентским пер.";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.818816";"55.700703";"92386425";
80;"Часы";"Ленинский просп., д55 напротив магазина ""Москва""";"КП-098";"";"0.125";"Юго-Западный АО";"37.562212";"55.697414";"92386426";
81;"Часы";"Ленинский просп., д86 ул.Марии Ульяновой";"КП-098";"";"0.125";"Юго-Западный АО";"37.5291";"55.677634";"92386427";
82;"Часы";"Локомотивный пр., д28 м.""Петровско - Разумовская"", рынок";"КП-098";"";"0.125";"Северный АО";"37.575362";"55.836837";"92386428";
83;"Часы";"Ленинский просп., напротив д37 м""Ленинский просп."", ул.Орджоникидзе";"КП-098";"";"0.125";"Южный АО";"37.587892";"55.709221";"92386429";
84;"Часы";"Василевского Маршала ул., д17 м ""Щукинская""";"КП-098";"";"0.125";"Северо-Западный АО";"37.463672";"55.808746";"92386430";
85;"Часы";"Новинский б-р, д17 Посольство США";"КП-098";"";"0.125";"Центральный АО";"37.58323";"55.754966";"92386431";
86;"Часы";"Орджоникидзе ул., напротив д11";"КП-098";"";"0.08";"Южный АО";"37.595085";"55.710026";"92386432";
87;"Часы";"Планерная ул., д12 м ""Планерная""";"КП-098";"";"0.125";"Северо-Западный АО";"37.436083";"55.863871";"92386433";
88;"Часы";"Товарищеская улица, напротив вл.2 м ""Царицино"", пересечение с Луганской ул.";"КП-098";"";"0.125";"Южный АО";"37.669912";"55.621224";"92386434";
89;"Часы";"Пролетарский просп., д29";"КП-098";"";"0.125";"Южный АО";"37.657791";"55.634804";"92386435";
90;"Часы";"Шверника ул., д22";"КП-098";"";"0.125";"Юго-Западный АО";"37.595824";"55.688944";"92386436";
91;"Часы";"Профсоюзная ул., напротив д84 м ""Калужская""";"КП-098";"";"0.125";"Юго-Западный АО";"37.538933";"55.655295";"92386437";
92;"Часы";"Сокольническая пл., м ""Сокольники"", Русаковская ул.";"КП-098";"";"0.125";"Восточный АО";"37.680451";"55.78929";"92386438";
93;"Часы";"Семеновская пл., д1 м ""Семеновская""";"КП-098";"";"0.125";"Восточный АО";"37.719102";"55.782386";"92386439";
94;"Часы";"Семеновская Б.ул., д26 м. ""Электрозаводская""";"КП-098";"";"0.125";"Восточный АО";"37.706214";"55.782167";"92386440";
95;"Часы";"Спартаковская ул., д24 Театр кукол";"КП-098";"";"0.125";"Центральный АО";"37.676333";"55.772574";"92386441";
96;"Часы";"Декабристов ул., д15";"КП-098";"";"0.125";"Северо-Восточный АО";"37.603086";"55.864779";"92386442";
97;"Часы";"Фестивальная ул., д11-13 м ""Речной вокзал""";"КП-098";"";"0.125";"Северный АО";"37.475627";"55.854746";"92386443";
98;"Часы";"Хорошёвское шоссе, д88";"КП-098";"";"0.125";"Северный АО";"37.516925";"55.777427";"92386444";
99;"Часы";"Чертановская ул., д28 Днепропетровская ул.";"КП-098";"";"0.125";"Южный АО";"37.593498";"55.619596";"92386445";
100;"Часы";"Щелковское шоссе, д56/72 м ""Щелковское""";"КП-098";"";"0.125";"Восточный АО";"37.798999";"55.810074";"92386446";
101;"Часы";"Энтузиастов шоссе, д46/2 м ""Шоссе энтузиастов""";"КП-098";"";"0.125";"Восточный АО";"37.751971";"55.758203";"92386447";
102;"Часы";"Андропова Ю.В. просп., д32-36,м. ""Коломенская"" пересечение с Нагатинской";"КП-098";"";"0.125";"Южный АО";"37.662977";"55.676868";"92386448";
103;"Часы";"Андропова Ю.В. просп., д21-27 пересечение с ул. Новинки";"КП-098";"";"0.125";"Южный АО";"37.664916";"55.678728";"92386449";
104;"Часы";"Тульская Б. ул., напротив д2 м. ""Тульская""";"КП-098";"";"0.125";"Южный АО";"37.621629";"55.710673";"92386450";
105;"Часы";"Вернадского просп., д109 м.""Юго-западная"", нечет.ст.";"КП-098";"";"0.125";"Западный АО";"37.482952";"55.662218";"92386451";
106;"Часы";"Земляной вал ул., д9";"КП-098";"";"0.125";"Центральный АО";"37.658447";"55.762176";"92386452";
107;"Часы";"Волоколамское шоссе, д92 к2 м. ""Тушинская""";"КП-098";"";"0.125";"Северо-Западный АО";"37.436042";"55.825459";"92386453";
108;"Часы";"Зубовский б-р, д4 напротив ЦПКиО";"КП-098";"";"0.125";"Центральный АО";"37.589009";"55.737755";"92386454";
109;"Часы";"Измайловское шоссе, м. ""Партизанская"" ресторан ""Альфа""";"КП-098";"";"0.125";"Восточный АО";"37.749733";"55.787789";"92386455";
110;"Часы";"Киевского вокзала пл., д2, м. ""Киевская""";"КП-098";"";"0.125";"Западный АО";"37.567086";"55.743803";"92386456";
111;"Часы";"Кировоградская ул., д9 м. ""Южная""";"КП-098";"";"0.125";"Южный АО";"37.608454";"55.623346";"92386457";
112;"Часы";"Красноказарменная ул., д23";"КП-098";"";"0.125";"Юго-Восточный АО";"37.714587";"55.75376";"92386458";
113;"Часы";"Кутузовский просп., д5 напротив гостиницы ""Украина""";"КП-098";"";"0.125";"Западный АО";"37.565938";"55.750079";"92386459";
114;"Часы";"Ленинградский просп., д33";"КП-098";"";"0.125";"Северный АО";"37.557246";"55.788773";"92386460";
115;"Часы";"Ленинградский просп., д64 м ""Аэропорт""";"КП-098";"";"0.125";"Северный АО";"37.528529";"55.801838";"92386461";
116;"Часы";"Каховка ул., д25";"КП-098";"";"0.125";"Юго-Западный АО";"37.572969";"55.655836";"92386462";
117;"Часы";"Ленинский просп., д27 к1 клинич. больница";"КП-098";"";"0.125";"Южный АО";"37.592062";"55.715253";"92386463";
118;"Часы";"Ленинский просп., д45 ""Трансагентство""";"КП-098";"";"0.125";"Юго-Западный АО";"37.572653";"55.703337";"92386464";
119;"Часы";"Ленинский просп., д75/9 магазин ""Синтетика""";"КП-098";"";"0.125";"Юго-Западный АО";"37.544884";"55.687448";"92386465";
120;"Часы";"Ленинский просп., д89 пересечение с ул.Гарибальди";"КП-098";"";"0.125";"Юго-Западный АО";"37.53161";"55.678447";"92386466";
121;"Часы";"Ломоносовский просп., д2 Черемушкинский рынок";"КП-098";"";"0.125";"Юго-Западный АО";"37.551948";"55.684338";"92386467";
122;"Часы";"Святоозерская ул., д5";"КП 098-04/1";"";"0.1";"Восточный АО";"37.889632";"55.713346";"92386468";
123;"Часы";"Ушакова Адмирала бульв., д3 (м ""Скобелевская""),1-я опора после пересечения с ул. Скобелевская,при движении в центр";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.555069";"55.54773";"92386469";
124;"Часы";"Новоясеневский просп., д24 пересечение с Тарусской ул. 4-я опора";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.530298";"55.606522";"92386470";
125;"Часы";"Теплый Стан ул., напротив д31 пересечение с ул.Академика Варги";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.481722";"55.631521";"92386471";
126;"Часы";"Новоясеневский просп., д32-34 пересечение с ул.Паустовского";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.541943";"55.604008";"92386472";
127;"Часы";"Вернадского просп., д6 пересечение с ул.Строителей";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.531002";"55.690842";"92386473";
128;"Часы";"Велозаводская ул., д4 пересечение с ул.Ленинская Слобода";"КП 098-04/1";"";"0.1";"Южный АО";"37.66472";"55.713853";"92386474";
129;"Часы";"Пролетарский просп., д1 пересечение с Каширским ш. 10 оп.";"КП 098-04/1";"";"0.1";"Южный АО";"37.657085";"55.647689";"92386475";
130;"Часы";"Новокузнецкая ул., д5/10,1-я опора после пересечения со Старым Толмачевским пер.,при движении в центр";"КП 098-04/1";"";"0.1";"Центральный АО";"37.629623";"55.740014";"92386476";
131;"Часы";"Мосфильмовская ул., д2, 1-я опора после пересечения с ул.Пудовкина из центра";"КП-098";"";"0.08";"Западный АО";"37.533248";"55.725722";"92386477";
132;"Часы";"Петушкова Василия ул., напротив д3 к2, 1-я опора на зеленом островке, при движении с МКАД";"КП 098-01";"";"0.08";"Северо-Западный АО";"37.398155";"55.835688";"92386478";
133;"Часы";"Вельяминовская ул., д9, 6-я опора до пересечения с Щербаковской ул., в центр";"КП 098-01";"";"0.08";"Восточный АО";"37.722123";"55.784627";"92386479";
134;"Часы";"Ленинский просп., д82/2 пересечение с ул.Крупской";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.53415";"55.680728";"92386480";
135;"Часы";"Святоозерская ул., д13,1-я опора до пересечения с местным проездом,при движении в центр";"КП 098-04/1";"";"0.1";"Восточный АО";"37.893824";"55.712767";"92386481";
136;"Часы";"Рязанский просп., д55/1 пересечение с ул.Коновалова";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.769235";"55.723225";"92386482";
137;"Часы";"Авиамоторная ул., напротив д33 пересечение с Энергетической ул.";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.716232";"55.756486";"92386483";
138;"Часы";"Полетаева Федора ул., д15 к1 пересечение с Есенинским б-ром";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.781264";"55.709202";"92386484";
139;"Часы";"Рудневка ул., д12,1-ая оп. до Х с местным пр-м,при движении из центра";"КП 098-04/1";"";"0.1";"Восточный АО";"37.890683";"55.716338";"92386485";
140;"Часы";"Новокузьминская 1-я ул., д27/12 пересечение с ул.Академика Скрябина";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.795583";"55.71283";"92386486";
141;"Часы";"Новоясеневский просп., вл.2 м.""Теплый Стан"" пересечение с ул.Профсоюзной";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.505054";"55.618839";"92386487";
142;"Часы";"Радонежского Сергия ул., д12 пересечение с ул.Рогожский вал";"КП 098-04/1";"";"0.1";"Центральный АО";"37.677813";"55.746632";"92386488";
143;"Часы";"Перовская ул., д20 пересечение с ул.Плеханова";"КП 098-04/1";"";"0.1";"Восточный АО";"37.76471";"55.746952";"92386489";
144;"Часы";"Первомайская ул., д82 пересечение с 11-й Парковой ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.80503";"55.793233";"92386490";
145;"Часы";"Первомайская ул., д116 пересечение с 15-й Парковой ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.818151";"55.793448";"92386491";
146;"Часы";"Поляны ул., 3В,6-ая опора после пересечения с ул.Скобелевская,при движении к МКАД";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.55268";"55.553725";"92386492";
147;"Часы";"Первомайская ул., д100 пересечение с 12-й Парковой ул.";"КП 098-04/1";"";"0.1";"Восточный АО";"37.810573";"55.793325";"92386493";
148;"Часы";"Красносельская Верхн.ул., д1Г,пересечение с 3ГКТ м-н ""АШАН""";"КП 098-04/1";"";"0.1";"Центральный АО";"37.66435";"55.785393";"92386494";
149;"Часы";"Братиславская ул., д33 пересечение с ул.Поречной";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.769479";"55.651518";"92386495";
150;"Часы";"Зеленодольская ул., д11/16 пересечение с ул.Ф.Полетаева";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.778015";"55.712078";"92386496";
151;"Часы";"Юных Ленинцев ул., д95 к1,1-ая опора до пересечения с Есенинским б-ром,при движении в центр";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.777883";"55.698596";"92386497";
152;"Часы";"Спартаковский пер., д26/1, 6-я опора до пересечения с Бакунинской ул., к Спартаковской ул.";"КП 098-01";"";"0.8";"Центральный АО";"37.681502";"55.775983";"92386498";
153;"Часы";"Ленинский просп., д72/2, 5-я опора до пересечения с ул.Строителей, из центра";"КП 098-01";"";"0.08";"Юго-Западный АО";"37.541745";"55.685864";"92386499";
154;"Часы";"Окская ул., д3 к1,1-ая опора до пересечения с местным пр-дом,при движении в центр";"КП 098-04/1";"";"0.1";"Юго-Восточный АО";"37.753361";"55.711679";"92386500";
155;"Часы";"Магистральная 3-я ул., д18,стр 20,1-ая опора до пересечения с 1-м Магистральным пр-дом,при движении из центра";"КП 098-04/1";"";"0.1";"Северный АО";"37.519744";"55.76478";"92386501";
156;"Часы";"Профсоюзная ул., д154,3-ая опора до пересечения с ул. Теплый Стан,из центра";"КП 098-04/1";"";"0.1";"Юго-Западный АО";"37.505887";"55.620167";"92386502";
157;"Часы";"Мира просп., д92 м. ""Рижская""";"КП-098";"";"0.125";"Центральный АО";"37.635152";"55.792185";"92386503";
158;"Часы";"Новогиреевская ул., д20/34 ""Универсам""";"КП-098";"";"0.125";"Восточный АО";"37.794458";"55.75943";"92386504";
159;"Часы";"Пролетарский просп., д16-18 м ""Кантемировская""";"КП-098";"";"0.125";"Южный АО";"37.657185";"55.634654";"92386506";
160;"Часы";"Рублевское шоссе, д38";"КП-098";"";"0.125";"Западный АО";"37.414321";"55.74925";"92386507";
161;"Часы";"Снежная ул., д27 к1 м""Свиблово""";"КП-098";"";"0.125";"Северо-Восточный АО";"37.654198";"55.856031";"92386508";
162;"Часы";"Кировоградская ул., вл.15";"КП-098";"";"0.125";"Южный АО";"37.604731";"55.61077";"92386509";
163;"Часы";"1905 года ул., д8";"КП-098";"";"0.125";"Центральный АО";"37.559492";"55.76695";"92386510";
164;"Часы";"Вешняковская ул., д18 магазин ""Вешняки""";"КП-098";"";"0.08";"Восточный АО";"37.825922";"55.723297";"92386511";
165;"Часы";"Пресненский вал ул., д17/19";"КП-098";"";"0.125";"Центральный АО";"37.567659";"55.770726";"92386512";
166;"Часы";"Сахарова А.Д. Академика просп., д10";"КП-098";"";"0.125";"Центральный АО";"37.64276";"55.769394";"92386513";
167;"Часы";"Фрунзенская наб., д22";"КП-098";"";"0.125";"Центральный АО";"37.590606";"55.726329";"92386514";
168;"Часы";"Каховка ул., Станция метро ""Каховская"", 3-я опора до Азовской ул.";"КП-098";"";"0.3";"Юго-Западный АО";"37.596709";"55.652563";"92386515";
169;"Часы";"Чертановская ул., н-в д1, м.""Чертановская"" 4-я оп. после пересеч. с Балаклавским просп.";"КП-098";"";"0.125";"Южный АО";"37.605263";"55.640207";"92386516";
170;"Часы";"Ленинский просп., д12";"КП-098";"";"0.125";"Южный АО";"37.597831";"55.719914";"92386517";
171;"Часы";"Покровка ул., д47";"КП-098";"";"0.125";"Центральный АО";"37.654548";"55.763488";"92386518";
172;"Часы";"Волгоградский просп., д80/40 М-н ""Перекресток""";"КП-098";"";"0.125";"Юго-Восточный АО";"37.765988";"55.704965";"92386519";
173;"Часы";"Волгоградский просп., д82";"КП-098";"";"0.125";"Юго-Восточный АО";"37.767529";"55.704809";"92386520";
174;"Часы";"Ленинградский просп., д78 Балтийская ул.";"КП-098";"";"0.125";"Северный АО";"37.511723";"55.806172";"92386521";
175;"Часы";"Профсоюзная ул., д126 м ""Коньково""";"КП-098";"";"0.08";"Юго-Западный АО";"37.518834";"55.632268";"92386522";
176;"Часы";"Варшавское шоссе, д16";"КП-098";"";"0.08";"Южный АО";"37.621109";"55.692868";"92386523";
177;"Часы";"Каширское шоссе, напротив д108 Ореховый б-р,14 3ГТК";"КП-098";"";"0.125";"Южный АО";"37.71735";"55.609852";"92386524";
178;"Часы";"Люблинская ул., д12 Рынок";"КП-098";"";"0.08";"Юго-Восточный АО";"37.73265";"55.700813";"92386525";
179;"Часы";"Сайкина ул., д15/7";"КП-098";"";"0.08";"Юго-Восточный АО";"37.668125";"55.705523";"92386526";
180;"Часы";"Южнопортовая ул., д3-5, м ""Кожуховская""";"КП-098";"";"0.08";"Юго-Восточный АО";"37.686077";"55.706362";"92386527";
181;"Часы";"Ленинский просп., д21";"КП-098";"";"0.08";"Южный АО";"37.59579";"55.717919";"92386528";
182;"Часы";"Варшавское шоссе, д158 м ""Анино""";"КП-098";"";"0.08";"Южный АО";"37.597112";"55.583259";"92386529";
183;"Часы";"Плещеева ул., д4А м.""Бибирево""";"КП-098";"";"0.125";"Северо-Восточный АО";"37.605102";"55.883805";"92386530";
184;"Часы";"Алтуфьевское шоссе, д93 м ""Алтуфьевская""";"КП-098";"";"0.08";"Северо-Восточный АО";"37.586732";"55.898265";"92386531";
185;"Часы";"Нижегородская ул., д74";"КП-098";"";"0.08";"Юго-Восточный АО";"37.712033";"55.73295";"92386532";
